City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI_Bucket
Shillong,11.647268124146327,16.592840175623486,0.9723965056784678,2.7770218319478004,1.1092209598797729,2.8286096048471485,0.18952663739608505,7.880148463294465,18.548106549584343,-0.018274234671942877,0.15047336260391495,Good
Amritsar,48.785,41.60149583021983,17.713035061296324,14.119499647610688,30.62231316314377,9.733485650510886,0.0,2.8257097412013628,22.27083641987821,5.248010179708948,7.378327160243573,Good
Kolkata,12.408149928585521,31.24670930174434,3.3080859759690107,5.3580859759690105,8.726171951938023,6.9002149399225265,0.27,5.630537349806318,23.71817301065852,1.0759570120154947,5.341914024030989,Good
Shillong,21.18,26.77,0.86,2.72,1.17,2.78,0.23,3.3,33.19,132.8,132.8,Good
Hyderabad,20.24,44.74,3.96,27.59,17.09,13.09,0.38,6.29,19.98,1.31,10.83,Good
Amritsar,48.785,43.32088904786493,15.593498504006728,15.236177379117409,30.571252663844234,10.321266547638013,0.0,3.1530446433678745,22.932074445018173,5.362148653606056,7.555570796747011,Good
Thiruvananthapuram,7.568549721932561,29.02864148681125,4.4490092096542835,12.869182764423455,10.463084749220531,6.424698607068933,0.540551584264548,2.01034744120248,26.99036772284303,1.8593360375520738,5.513687369250595,Good
Thiruvananthapuram,14.625604289003851,29.86338809175118,3.2529365879156313,10.682076715154174,8.197767273977302,1.914795815537045,0.778401394820985,6.675386801471091,29.12021748753276,1.29,3.575,Good
Bengaluru,48.785,19.156073947650643,1.5123612393197565,6.671920096166282,4.554238840818813,18.5097441613143,0.5375818108964937,2.64833574251942,31.25,1.29,0.4334492067457488,Good
Kolkata,9.68252851312099,20.8723087635069,9.531053127076854,9.396595273540605,15.50371571806066,8.750813352083922,0.38191210015436466,4.179098191046853,14.90246286674856,5.180333802098058,12.038855630935968,Good
Amaravati,9.33004857274123,25.496966681049074,3.4525056668198104,11.09131759706488,8.789417298762155,9.4243703451123,0.5718776310234832,12.25558755851197,27.875024286370614,0.12500161909137433,2.434396250574288,Good
Amritsar,48.785,42.98091985436901,14.270506240822968,14.21282797892397,28.461691321333472,9.059630590810865,0.0,3.1674472436659715,21.273998844422927,5.437294637698317,8.146473188491584,Good
Thiruvananthapuram,15.535806200667675,38.13010723411229,1.93,5.013994931051709,4.2320374343535265,16.31,0.5770306102392904,3.839134334019689,15.077923572676545,1.29,3.575,Good
Amritsar,24.34600618500167,44.715771583412675,21.229622977204155,14.88481436923902,30.567215792584644,12.754060323647334,0.6198868931612471,7.080031941005699,40.63375294413677,1.311954757264499,1.1996229772041571,Good
Thiruvananthapuram,17.724845220683292,35.93617487814645,8.111675785268378,10.090163850535943,13.301529935023474,6.4989617587317845,0.6118214933658517,7.933734125366341,29.012040197659495,1.29,3.575,Good
Thiruvananthapuram,16.079802588160877,32.43366072709522,0.8242868210381578,3.5110963817394296,2.018524289116535,1.3204286821038158,0.6891426357923685,1.2772382428050877,25.739010071447236,1.29,3.575,Good
Amritsar,20.09,34.55,18.33,11.21,28.01,12.03,0.85,8.49,22.14,1.4,1.55,Good
Thiruvananthapuram,15.419654706170892,32.282071762974645,0.960230195886072,3.61,2.052685418929805,1.3629156148158772,0.6718286452675488,1.1345651522583584,25.93888718680962,1.29,3.575,Good
Hyderabad,10.030413780580005,23.10146904061133,2.173993341253981,10.197125827617853,6.165454058432784,9.159261317978075,0.31336850866771077,6.808733687962412,17.463271306097102,0.04989447399686765,0.3189447399686765,Good
Amaravati,8.56108073856373,37.89132187441671,0.8801916057536207,5.205687844127171,3.223541449120074,1.536680320874272,0.2731237896338353,14.675132392724944,37.57919912900652,0.0073821316690323765,3.3268783522353007,Good
Bengaluru,23.60875077758277,96.18,4.4244890487181365,7.376534927399648,12.158122019266044,24.339383683007615,14.30764919168033,9.551453970230005,16.048769202515384,1.3277841498168765,10.149883229742164,Good
Thiruvananthapuram,7.236073018394385,21.17135128887761,1.0155342834450534,3.0236620656352273,1.769643811036631,1.7663379343647727,0.36294968770848957,0.8881277821901741,28.325360640467647,1.29,3.575,Good
Thiruvananthapuram,14.368316214246274,37.61668020894313,0.8352330305445277,3.1579314068159916,1.9358054501985005,1.731349188135732,0.645077676848176,1.0309321221781111,20.52343451792384,1.29,3.575,Good
Shillong,13.14,21.3,1.17,3.59,1.55,3.66,0.46,5.66,26.7,0.48,1.34,Good
Jorapokhar,15.0,28.54,8.75,9.29,23.68,6.25,0.93,3.41,5.76,1.29,3.575,Good
Guwahati,17.75,26.31,9.24,10.51,12.01,1.65,0.4,15.62,21.27,0.0,3.575,Good
Hyderabad,18.772243355302095,50.10712537835189,4.5101531907104535,24.67071402953598,16.386552203856894,12.364085230323854,0.27536009868535577,4.108100033127217,18.18358865118409,0.2341618256790814,2.72977021393432,Good
Amaravati,7.6260193005315235,21.586309232893754,3.0991578508850206,7.733861033054201,6.636718831670257,9.726010119906736,0.45386562336659486,14.316645174477266,26.59054303612796,0.046134376633405146,1.3349977048438029,Good
Bengaluru,4.872957241595347,62.65262508235077,11.765088056656104,31.63342726043318,0.0,17.882554637025876,0.7690769986476497,5.215202817812996,16.24769798372426,0.9125455438563133,1.1746854520866359,Good
Guwahati,23.396048807819948,46.37274838657254,3.63629284691969,7.180063911812077,10.109936088187922,5.64255665113631,0.41137710648923875,9.411545625628337,18.265700161393188,0.6153922104813675,3.575,Good
Hyderabad,16.094108742505842,41.21123544768156,2.6821150633209623,20.63631526327606,13.04574658964857,10.559582637195417,0.2712736947344788,6.416679415684308,17.376868973560136,0.22108413685864833,1.7508413685864834,Good
Kolkata,19.583460274304336,36.57061584014991,16.370925544456075,20.072840865692,36.45618719984031,10.687372740770314,0.5470523310768478,3.6233748818477713,15.747169839695298,15.277483112463901,9.57707731031387,Good
Shillong,8.305565755642728,16.25339232716376,1.2429410466651407,3.592805000507773,1.4599093025617549,3.6952936633279925,0.29647052333257035,4.758779997968906,18.664253952827085,0.33542970948536016,1.4342075007616601,Good
Hyderabad,20.0786386046077,33.840658819139975,4.487522494792177,22.15039751018252,13.34005176880269,9.930795020365037,0.41861148773435203,3.8397060274228623,19.36501232596467,0.5660168864844745,4.213689140938388,Good
Thiruvananthapuram,17.088420959305804,33.914619177362745,8.31734479477835,10.00512205352949,15.654234245915848,7.489112192386359,0.5422309588681372,4.698656848745506,23.631272739060538,1.29,3.575,Good
Thiruvananthapuram,7.42,22.98,1.99,4.14,3.79,16.31,0.49,3.33,14.18,1.29,3.575,Good
Hyderabad,15.95,38.56,1.88,8.82,5.39,5.7,0.39,3.28,19.48,0.2,1.44,Good
